BENCHMARK, START_STVARS, LTL2SMV_STVARS, LTL2SMV_TIME, CIRCUIT_STVARS, CIRCUIT_TIME
"benchmarks_wbs/wbs_arch1.ltl_100.vmt", 153, 158, 1.139, 177, 1.042
"benchmarks_wbs/wbs_arch1.ltl_101.vmt", 153, 158, 0.436, 177, 0.999
"benchmarks_wbs/wbs_arch1.ltl_102.vmt", 153, 158, 1.228, 177, 0.837
"benchmarks_wbs/wbs_arch1.ltl_103.vmt", 153, 158, 0.479, 177, 0.963
"benchmarks_wbs/wbs_arch1.ltl_104.vmt", 153, 158, 1.094, 177, 0.776
"benchmarks_wbs/wbs_arch1.ltl_105.vmt", 153, 158, 0.429, 177, 0.901
"benchmarks_wbs/wbs_arch1.ltl_106.vmt", 16, 20, 0.103, 237, 4.732
"benchmarks_wbs/wbs_arch1.ltl_10.vmt", 83, 89, 0.199, 483, 15.998
"benchmarks_wbs/wbs_arch1.ltl_11.vmt", 83, 89, 0.203, 483, 15.121
"benchmarks_wbs/wbs_arch1.ltl_12.vmt", 83, 89, 0.200, 483, 13.896
"benchmarks_wbs/wbs_arch1.ltl_13.vmt", 83, 89, 0.220, 483, 14.886
"benchmarks_wbs/wbs_arch1.ltl_14.vmt", 83, 89, 0.537, 665, 20.375
"benchmarks_wbs/wbs_arch1.ltl_15.vmt", 83, 89, 0.773, 665, 21.045
"benchmarks_wbs/wbs_arch1.ltl_16.vmt", 83, 89, 0.261, 491, 14.676
"benchmarks_wbs/wbs_arch1.ltl_17.vmt", 83, 89, 0.547, 491, 19.603
"benchmarks_wbs/wbs_arch1.ltl_18.vmt", 83, 89, 0.280, 491, 19.990
"benchmarks_wbs/wbs_arch1.ltl_19.vmt", 83, 89, 0.613, 491, 23.175
"benchmarks_wbs/wbs_arch1.ltl_1.vmt", 83, 89, 1.553, 915, 58.425
"benchmarks_wbs/wbs_arch1.ltl_20.vmt", 83, 89, 0.288, 491, 15.918
"benchmarks_wbs/wbs_arch1.ltl_21.vmt", 83, 89, 0.701, 491, 19.611
"benchmarks_wbs/wbs_arch1.ltl_22.vmt", 83, 89, 0.405, 491, 17.488
"benchmarks_wbs/wbs_arch1.ltl_23.vmt", 83, 89, 0.775, 491, 19.538
"benchmarks_wbs/wbs_arch1.ltl_24.vmt", 83, 89, 0.388, 491, 14.818
"benchmarks_wbs/wbs_arch1.ltl_25.vmt", 83, 89, 0.689, 491, 18.050
"benchmarks_wbs/wbs_arch1.ltl_26.vmt", 83, 89, 0.403, 491, 16.086
"benchmarks_wbs/wbs_arch1.ltl_27.vmt", 83, 89, 0.691, 491, 17.920
"benchmarks_wbs/wbs_arch1.ltl_28.vmt", 83, 89, 0.321, 491, 20.985
"benchmarks_wbs/wbs_arch1.ltl_29.vmt", 83, 89, 0.684, 491, 20.239
"benchmarks_wbs/wbs_arch1.ltl_2.vmt", 83, 89, 215.883, 921, 82.316
"benchmarks_wbs/wbs_arch1.ltl_30.vmt", 83, 89, 0.285, 491, 16.006
"benchmarks_wbs/wbs_arch1.ltl_31.vmt", 83, 89, 0.720, 491, 17.785
"benchmarks_wbs/wbs_arch1.ltl_32.vmt", 32, 36, 2.064, 525, 16.458
"benchmarks_wbs/wbs_arch1.ltl_33.vmt", 32, 36, 0.101, 533, 16.477
"benchmarks_wbs/wbs_arch1.ltl_34.vmt", 32, 36, 0.130, 533, 16.279
"benchmarks_wbs/wbs_arch1.ltl_35.vmt", 32, 36, 0.130, 533, 15.165
"benchmarks_wbs/wbs_arch1.ltl_36.vmt", 32, 36, 0.162, 533, 13.586
"benchmarks_wbs/wbs_arch1.ltl_37.vmt", 32, 36, 0.135, 533, 13.713
"benchmarks_wbs/wbs_arch1.ltl_38.vmt", 32, 36, 0.173, 533, 13.620
"benchmarks_wbs/wbs_arch1.ltl_39.vmt", 32, 36, 0.117, 533, 13.439
"benchmarks_wbs/wbs_arch1.ltl_3.vmt", 83, 89, 35.831, 921, 71.340
